Nome prodotto;Prezzo;Link;Occasione;Per chi;Et�;Tipo persona;Sesso;Budget;Categoria regalo;Immagine;MinAge
Calendario dell'avvento Escape Room;39,9;https://www.amazon.it/Escape-Room-Calendario-dellAvvento-2024/dp/B0DJBCX17T/ref=zg_mg_c_books_d_sccl_1/261-1041322-4088136?pd_rd_w=aoFn3&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=B0DJBCX17T&psc=1;Natale;Amico;14-55;Creativa;Unisex;??;Varie;https://m.media-amazon.com/images/I/516UrOMNCBL.jpg;0
Harry Potter serie completa;315,99;https://www.amazon.it/Harry-Potter-serie-completa-Mezzosangue-Harry/dp/8893817896/ref=zg_mg_c_books_d_sccl_3/261-1041322-4088136?pd_rd_w=aoFn3&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=8893817896&psc=1;Compleanno;Amico;14-55;Creativa;Unisex;???;Varie;https://m.media-amazon.com/images/I/51QMyE9SQHL.jpg;0
Harry Potter serie completa;315,99;https://www.amazon.it/Harry-Potter-serie-completa-Mezzosangue-Harry/dp/8893817896/ref=zg_mg_c_books_d_sccl_3/261-1041322-4088136?pd_rd_w=aoFn3&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=8893817896&psc=1;Natale;Amico;14-55;Creativa;Unisex;???;Varie;https://m.media-amazon.com/images/I/51QMyE9SQHL.jpg;0
Casco bhr per moto;96;https://www.amazon.it/Casco-Demi-Jet-Modello-Rosso-Metallizzato/dp/B01933ZW9S/ref=zg_mg_c_automotive_d_sccl_5/261-1041322-4088136?pd_rd_w=smLpr&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=B01933ZW5C&th=1;Regalo aziendale;Familiare;14-55;Pratica;Maschile;??;Varie;https://m.media-amazon.com/images/I/41yor5VRLeL._AC_.jpg;0
Casco bhr per moto;96;https://www.amazon.it/Casco-Demi-Jet-Modello-Rosso-Metallizzato/dp/B01933ZW9S/ref=zg_mg_c_automotive_d_sccl_5/261-1041322-4088136?pd_rd_w=smLpr&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=B01933ZW5C&th=1;Compleanno;Familiare;14-55;Pratica;Maschile;??;Varie;https://m.media-amazon.com/images/I/41yor5VRLeL._AC_.jpg;0
Casco bhr per moto;96;https://www.amazon.it/Casco-Demi-Jet-Modello-Rosso-Metallizzato/dp/B01933ZW9S/ref=zg_mg_c_automotive_d_sccl_5/261-1041322-4088136?pd_rd_w=smLpr&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=B01933ZW5C&th=1;Natale;Familiare;14-55;Pratica;Maschile;??;Varie;https://m.media-amazon.com/images/I/41yor5VRLeL._AC_.jpg;0
Borraccia sportiva;13,59;https://www.amazon.it/Super-Sparrow-Bottiglia-Liscio-Verde-500ml-17oz/dp/B07XXKNBFR/ref=zg_mg_c_sports_d_sccl_1/261-1041322-4088136?pd_rd_w=oiiHJ&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=B07XXKNBFR&th=1&psc=1;Regalo aziendale;Amico;14-55;Pratica;Unisex;?;Sport & outdoor;https://m.media-amazon.com/images/I/41VKlCMu8eL._AC_.jpg;0
Borraccia sportiva;13,59;https://www.amazon.it/Super-Sparrow-Bottiglia-Liscio-Verde-500ml-17oz/dp/B07XXKNBFR/ref=zg_mg_c_sports_d_sccl_1/261-1041322-4088136?pd_rd_w=oiiHJ&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=B07XXKNBFR&th=1&psc=1;Compleanno;Amico;14-55;Pratica;Unisex;?;Sport & outdoor;https://m.media-amazon.com/images/I/41VKlCMu8eL._AC_.jpg;0
Borraccia sportiva;13,59;https://www.amazon.it/Super-Sparrow-Bottiglia-Liscio-Verde-500ml-17oz/dp/B07XXKNBFR/ref=zg_mg_c_sports_d_sccl_1/261-1041322-4088136?pd_rd_w=oiiHJ&content-id=amzn1.sym.bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_p=bf16da9e-571e-4ac0-b567-e688486f9ff2&pf_rd_r=7K2DQME8CFG85RRXK3DE&pd_rd_wg=1QJPL&pd_rd_r=2d335130-7d76-45f6-9599-6262e889c113&pd_rd_i=B07XXKNBFR&th=1&psc=1;Natale;Amico;14-55;Pratica;Unisex;?;Sport & outdoor;https://m.media-amazon.com/images/I/41VKlCMu8eL._AC_.jpg;0
Album Vasco Rossi 4.0;49,99;https://www.amazon.it/Vasco-Rossi-4-0-4-CD/dp/B071VWLPHX/ref=tmm_acd_swatch_0;Compleanno;Amico;14-55;Emotiva;Maschile;??;Musica & hobby;https://m.media-amazon.com/images/I/51BEfYKHrpL._AC_.jpg;0
